"group" "ints" "reals"
"1" "c" 8 1.62243182191353
"2" "b" 6 -0.542610770731512
"3" "b" 6 1.16530481583557
"4" "a" 3 0.511882426948862
"5" "c" 5 0.423655755179891
"6" "c" 7 -0.827302901289014
"7" "a" 3 0.382048792722066
"8" "c" 7 -0.99606520422181
"9" "c" 7 1.14688153535313
"10" "b" 8 0.682890917970226
"11" "c" 6 -1.27675613979613
"12" "a" 7 -0.0725416999730021
"13" "c" 7 1.70658792031986
"14" "b" 4 -0.696263845909869
"15" "b" 5 1.08622327726004
"16" "a" 6 -1.28367116494223
"17" "b" 6 -0.0901644464281374
"18" "c" 4 0.0241592298032609
"19" "b" 6 -2.47559719580349
"20" "c" 6 0.571871292109321
"21" "a" 5 1.32792093858118
"22" "b" 8 0.676102620815078
"23" "a" 4 -0.809018821305654
"24" "a" 6 -0.151390278981436
"25" "c" 5 -0.618516471180593
"26" "b" 5 -1.5456367095545
"27" "b" 5 0.108590776553471
"28" "c" 5 -0.0570372771426022
"29" "c" 6 -0.994139461529313
"30" "b" 3 -1.22597243512565
"31" "b" 5 0.498097465501105
"32" "b" 4 -1.96987476629663
"33" "b" 5 0.393236102356592
"34" "c" 6 -0.758610862302859
"35" "c" 6 -0.157971051553934
"36" "b" 6 -1.39361118760675
"37" "a" 5 0.171793573117508
"38" "b" 7 2.13604555788707
"39" "c" 3 -0.252407699209342
"40" "b" 7 0.363144080324644
"41" "c" 9 -0.00263910677275636
"42" "a" 6 -0.185919184623515
"43" "a" 3 -0.305207611871925
"44" "b" 5 -0.367992689456879
"45" "a" 2 0.125838080657544
"46" "b" 2 3.40719435745301
"47" "c" 6 -0.700281916830303
"48" "c" 4 0.710573981609808
"49" "b" 4 1.04831964041243
"50" "a" 7 -0.218045116709035
"51" "b" 7 -1.67765741155692
"52" "a" 6 -0.749759461660785
"53" "a" 3 -2.18674633825888
"54" "c" 5 -0.88531030839112
"55" "c" 4 0.600261584896186
"56" "a" 10 -0.685462607483927
"57" "a" 4 -0.965365126403198
"58" "a" 6 0.25635791488949
"59" "c" 7 -0.70936267434568
"60" "c" 4 -0.778747738589205
"61" "a" 6 0.442388197096966
"62" "b" 5 0.471001304049732
"63" "b" 5 -0.260736020695973
"64" "b" 4 0.635461385143548
"65" "c" 6 1.77097913653494
"66" "b" 7 -0.219475280800284
"67" "a" 5 0.12039633617713
"68" "c" 7 0.0304439205408594
"69" "b" 4 0.312365135616342
"70" "a" 3 1.08070007182954
"71" "c" 2 1.13862345565672
"72" "b" 3 -1.02921186062467
"73" "b" 5 0.357909591007569
"74" "b" 6 -0.484720641294417
"75" "b" 4 1.32290067581576
"76" "b" 5 -0.0171118657740119
"77" "c" 7 -1.17115686160676
"78" "a" 6 -0.995965484875361
"79" "a" 2 -1.31726669570967
"80" "b" 5 -0.221260724529624
"81" "a" 6 0.151163629137612
"82" "c" 5 0.535179455892143
"83" "a" 7 -0.376927316510973
"84" "c" 7 0.350340589267351
"85" "a" 4 -0.773757267892066
"86" "c" 5 1.45447472296249
"87" "a" 8 0.993616053784713
"88" "c" 3 0.376685019154478
"89" "c" 5 -1.35493378662625
"90" "b" 4 -0.499180285604892
"91" "b" 7 -0.402915918460542
"92" "b" 7 0.0727199424796689
"93" "c" 3 -1.99337730838439
"94" "a" 3 -1.61459707309058
"95" "a" 4 -1.10747314688562
"96" "c" 4 -0.102688704443866
"97" "a" 7 -0.188470339053736
"98" "a" 6 0.871623868993924
"99" "b" 3 0.736414958826351
"100" "a" 4 -0.63028507747855
"101" "c" 7 1.4523909144312
"102" "a" 5 -0.0754121194149287
"103" "a" 3 -1.58722513569795
"104" "b" 4 -0.209903040751989
"105" "a" 5 -0.643721652429473
"106" "c" 5 -0.067082873067517
"107" "a" 5 2.00530419153353
"108" "c" 4 0.648521054991929
"109" "a" 7 1.00304425334666
"110" "a" 4 0.0679457072680704
"111" "c" 5 0.307759968367001
"112" "c" 5 0.120452242213122
"113" "b" 4 -0.270873452970988
"114" "a" 5 -0.459265310655433
"115" "c" 6 -1.30835342152155
"116" "a" 5 1.59014651200129
